taxon_name,Mean_CENF,Mean_CMIX,Mean_DESE,Mean_ENWD,Mean_GRAM,Mean_TEDE,Mean_TUND,Mean_WTSFS,Mean_XSHB,Stdev_CENF,Stdev_CMIX,Stdev_DESE,Stdev_ENWD,Stdev_GRAM,Stdev_TEDE,Stdev_TUND,Stdev_WTSFS,Stdev_XSHB
Amaryllidaceae,0,0,0.007321114,0,0,0,0,0.031082239,0.020740107,0,0,0.046639874,0,0,0,0,0.345251654,0.150491013
Anacardiaceae,0,0,0,0.002285296,0,0,0,0,0,0,0,0,0.023080359,0,0,0,0,0
Andromeda,0.003317102,0,0,0,0,0,0.002720513,0,0,0.026965443,0,0,0,0,0,0.016582097,0,0
Apiaceae,0.15817731,0.587959894,0.915458914,1.332884046,0.685557992,1.364763856,0.121327334,0.641123148,1.459811161,0.40959061,1.384753132,2.506908267,1.904462536,1.697739631,7.634225389,0.429361245,2.304914641,2.827620514
Aquilegia,0,0,0,0.006790063,0,0.000464485,0,0,0,0,0,0,0.039442965,0,0.005336532,0,0,0
Araceae,0,0,0,0,0.003367003,0,0,0,0,0,0,0,0,0.03868392,0,0,0,0
Arbutus,0,0,0,0.00497661,0,0.030497542,0,0.226093887,0,0,0,0,0.050261295,0,0.165878061,0,1.315305719,0
Arctostaphylos,0.00682554,0.000504042,0,0,0,0.000702109,0.015452925,0,0,0.039293813,0.005791007,0,0,0,0.008066619,0.103564413,0,0
Argania,0,0,1.387033194,0,0.011140818,0,0,0,2.173661395,0,0,8.541057125,0,0.127998256,0,0,0,8.522730457
Aristolochiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia,1.062922101,0.545366874,25.13548074,2.803555266,10.88005644,1.710234026,0.147748713,1.162874497,10.43033181,2.284407281,0.943646746,25.31787619,6.838301105,15.16657083,3.461612056,0.271201692,2.87697,19.41664156
Asclepiadaceae,0,0,0.003426887,0,0,0,0,0,0,0,0,0.028875466,0,0,0,0,0,0
Asparagaceae,0,0.012862311,0,0.006513066,0,0.004092086,0.000209644,0.008491508,0,0,0.127821955,0,0.046938678,0,0.043082419,0.002064757,0.068734945,0
Asphodelaceae,0,0,0,0,0.025900705,0,0,0,0,0,0,0,0,0.209616455,0,0,0,0
Asphodeliaceae,0,0,0,0,0,0,0,0.003892989,0,0,0,0,0,0,0,0,0.044727043,0
Asteraceae,0.106944339,0.243215205,0,7.604726645,0,0.544161528,0.021807231,0.016908968,0.296164684,0.78894284,1.692675129,0,10.4511283,0,2.973010013,0.166680726,0.138247806,1.058800328
Asteraceae (Liguliflorae),0,0.006037994,0.76559358,2.159167479,0.911309068,0.460433895,0,0.582539706,0.199848468,0,0.048871611,4.99108137,5.576011029,3.320685747,1.9699548,0,2.251122978,1.463930418
Asteroideae,0.457863834,0.863849308,4.333479893,2.071888871,3.172253903,0.857674483,0.485138719,1.235648024,3.539893741,1.256150594,3.72660757,8.364679616,3.822313318,6.130910596,2.066879565,1.188816785,2.221636756,5.661605826
Astragalus,0,0.024746636,0.028068658,0,0.043288482,0,0.07877757,0.038066855,0.11420789,0,0.284001647,0.176809432,0,0.21175867,0,0.698834272,0.304523171,0.471075271
Berberidaceae,0,0,0,0,0,0.002170705,0,0,0,0,0,0,0,0,0.024939496,0,0,0
Berberis,0,0,0,0,0.000112283,0,0,0.001057269,0,0,0,0,0,0.001290037,0,0,0.008942908,0
Betula,28.39363178,8.268627692,0.567553114,0.544550123,1.175130617,2.353056902,25.85688006,0.227568721,0.014564765,12.08080939,11.15420636,2.67830403,1.264195239,4.009989581,5.41679086,13.74546864,0.816684765,0.055998509
Betula (Chamaebetula),1.064436232,0,0,0,0,0,0.25289733,0,0,3.720715129,0,0,0,0,0,1.000146065,0,0
Boraginaceae,0.005214005,0.040241492,0.126979935,0.136498055,0.159034668,0.03231144,0,0.358363725,0.096621531,0.027740268,0.236874088,0.72763218,0.50125618,0.655024894,0.200365808,0,1.116853742,0.313337622
Brassicaceae,0.048466743,0.332945546,1.175726363,0.623528698,0.860286854,0.699326966,0.417932822,0.734225522,3.907241208,0.174041504,0.480022272,2.243776734,1.564304555,1.399879878,1.824146597,1.834481369,1.172903732,6.330796388
Bruckenthalia,0,0.000476463,0,0,0,0,0,0,0,0,0.00547414,0,0,0,0,0,0,0
Buxus,0,0.010774686,0,0,0.057257867,0.157608715,0,0.018599272,0.288736614,0,0.06048642,0,0,0.468742758,1.353034791,0,0.098272802,2.772789762
Calluna,0.490083473,0.778177819,0,0,0.008340453,2.733509145,0.142349162,0.162255152,0.000737659,1.819130091,3.560552619,0,0,0.080301932,8.761626301,0.367254182,0.902975402,0.008475058
Campanulaceae,0.05402052,0.054239783,0.005275096,0.005110501,0.02795367,0.024594444,0.059886554,0.080681774,0.006603125,0.420996445,0.165009703,0.044448747,0.026396801,0.110715917,0.100830971,0.177124774,0.703495079,0.038055883
Capparaceae,0,0,0.161478451,0,0.007070136,0,0,0,0.004898119,0,0,1.360641611,0,0.057245073,0,0,0,0.056275102
Caprifoliaceae,0.013464235,0.021802188,0,0.166069079,0.04492386,0.030771431,0,0.027810053,0.056188763,0.105182926,0.092054141,0,0.396210044,0.165557045,0.11507711,0,0.150137671,0.473769326
Carduoideae,0.034289437,0.106582503,1.409022727,0.507848467,0.998029545,0.319236814,0.030612143,0.125746769,0.487673631,0.215639447,0.318001932,5.65926337,1.765933245,4.900192993,1.125207666,0.124337082,0.418299982,0.8550204
Carpinus betulus,0.018769491,0.80233071,3.488218451,0.843493339,0.885712292,3.354044755,0.021057813,0.058751202,0,0.068243237,1.309180361,8.881875134,1.857721338,2.747294253,8.912737288,0.070314859,0.384231865,0
Carpinus orientalis/Ostrya,0,0.106835589,0.034372194,0.734356391,0.508720711,0.912252627,0,0.283263524,0,0,0.49225185,0.140089317,3.039446326,1.057929416,2.55150604,0,1.111066494,0
Caryophyllaceae,0.108772763,1.181374448,1.73265927,2.116470719,0.529925275,0.636027631,0.625344282,0.514303721,2.31721578,0.303814863,4.778579186,7.041433542,3.252967981,1.280830046,2.890169629,1.476860462,0.869427227,5.55840645
Cassiope,0.000179368,0,0,0,0,0,0.010714558,0,0,0.001501885,0,0,0,0,0,0.077569412,0,0
Castanea,0,0.506593018,0.004856727,0.237870901,0.015496006,1.096812295,0,1.880186465,0.001515152,0,1.58717603,0.040923507,0.791804238,0.05546668,4.365074543,0,10.02989713,0.017407766
Cedrus,0,0.001767058,0.519188299,0.244526524,0.308367836,0.004926733,0,1.343561995,5.08579197,0,0.016975587,1.270588883,1.317749452,1.796376551,0.047075118,0,7.329586687,11.88306596
Celastraceae,0.000278188,8.18939E-05,0.00437407,0.002614379,0,0.001598261,0.085263445,0,0,0.003196135,0.00094089,0.036856572,0.026403938,0,0.018362625,0.58170851,0,0
Celtis,0,0,0,0,0.002256369,0.002428127,0,0.006837984,0,0,0,0,0,0.017469599,0.027897058,0,0.071132566,0
Ceratonia,0,0,0,0,0,0,0,0.001260526,0.277169262,0,0,0,0,0,0,0,0.014482338,3.116166502
Cercis,0,0,0,0,0,0.003860611,0,0,0,0,0,0,0,0,0.031301233,0,0,0
Chamaedaphne,0.000210354,0,0,0,0,0,0,0,0,0.002416781,0,0,0,0,0,0,0,0
Chamaerops,0,0,0.033802817,0,0.012428827,0,0,0,0,0,0,0.284827598,0,0.112649126,0,0,0,0
Chimaphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cichorioideae,0.104182214,0.99757442,2.279016958,0.238588557,1.29433572,0.77315434,0.304276599,1.571626923,3.786583547,0.301062823,3.142926049,4.830922126,0.94937186,2.644396967,2.627933268,0.714320547,4.608475023,6.214634671
Cistaceae,0,0.000120787,0.208779127,0.033006886,0.094979614,0.007644631,0,0.038398631,0.13484096,0,0.001387738,1.110073697,0.118554632,0.78682067,0.050792149,0,0.284814298,0.4954479
Cistus,0,0,0.053723142,0,0.026635172,0.059296207,0,0.971047101,0.616664053,0,0,0.233730688,0,0.130904303,0.264786681,0,2.598673978,2.967168178
Clematis,0,0,0,0,0.001402918,0,0,0,0,0,0,0,0,0.016118303,0,0,0,0
Clethra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colchicaceae,0,0,0,0,0,0.005014592,0,0,0,0,0,0,0,0,0.050783375,0,0,0
Colutea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convolvulaceae,0.001753648,0.001539249,0.056828901,0.02958724,0.034374979,0.003383845,0,0.017903825,0.078178858,0.020147878,0.012549537,0.296362818,0.147091685,0.166406718,0.027839233,0,0.098839892,0.299409179
Coriaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornus,0.041881295,0.00595222,0,0.039884677,0.019075431,0.023695539,0.018512329,0.003376659,0,0.316366535,0.043069656,0,0.287736269,0.118165733,0.2511401,0.10486361,0.028203922,0
Corylus,0.296100949,1.861461595,0.107452004,1.533801372,0.344114388,2.67730905,0.528937445,0.485894946,0.016414636,0.504041981,2.799778315,0.341069303,3.266511173,0.710376292,3.847564444,0.670480779,2.246091699,0.080603832
Cotinus,0,0,0,0,0.000908587,0,0,0,0,0,0,0,0,0.008599979,0,0,0,0
Cotoneaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
